Capacity, Group 1 Calls Blocked,Group 2 Calls Blocked,Group 1 Calls Dropped,Group 2 Calls Dropped
1,0.0,0.0,0.8,0.64
2,0.0,0.0,0.7441860465116279,0.5538128718226069
3,0.0,0.0,0.6817391304347826,0.46476824196597355
4,0.0,0.0,0.6143421795595707,0.37741631358600397
5,0.0,0.0,0.5439531920917283,0.2958850751867806
6,0.0,0.0,0.47259258084216976,0.22334374746706318
7,0.0,0.0,0.40219560944316,0.16176130825535484
8,0.0,0.0,0.33453697215226136,0.11191498573680256
9,0.0,0.0,0.27120133768619886,0.07355016556278321
10,0.21354422308463114,0.04560113521281832,0.21354422308463114,0.04560113521281832
11,0.3423072297084967,0.11717423951070496,0.16263918178458908,0.026451503451560464
12,0.4210655879703299,0.17729622937279838,0.11922779887464846,0.014215268024493447
13,0.4696438254954695,0.22056532282601918,0.08367079540696445,0.0070008020040340175
14,0.4993430971876184,0.24934352870892212,0.05589462138860349,0.0031242087001752896
15,0.5170667420739238,0.26735801575894025,0.0353577419749215,0.0012501699175651094
16,0.5272589394627392,0.27800198924337177,0.021087922356970698,0.00044470046933362006
17,0.5328507091639246,0.28392987825649707,0.011822153892733193,0.0001397633226634653
18,0.5357572584382081,0.287035839969225,0.00621969492994552,3.8684605021589914e-05
19,0.5371827417949303,0.28856529808231823,0.0030698281863658387,9.423845093806166e-06
20,0.5378411912506187,0.2892731470058837,0.0014224690559524098,2.023418215142141e-06
21,0.5381276194383879,0.2895813348024266,0.0006196925801485128,3.840188938911208e-07
22,0.5382450759152972,0.2897077617470658,0.0002542853896123105,6.466105937028498e-08
23,0.5382905551952704,0.2897567218124342,9.848688660250442e-05,9.699666832654641e-09
24,0.5383072148205897,0.28977465752790266,3.608108932919032e-05,1.3018450071810178e-09
25,0.5383130000157547,0.28978088598596397,1.2530050194786352e-05,1.570021578838662e-10
26,0.5383149083613474,0.289782940564086,4.133334614686141e-06,1.708445503696275e-11
27,0.5383155075205643,0.28978358563712303,1.29774664532611e-06,1.6841463554551846e-12
28,0.5383156869102137,0.28978377877361494,3.885503307391043e-07,1.509713595174676e-13
